Creator Name,dance videos,comedy sketches,makeup tutorials,lifestyle,lip syncing,beatboxing,vlogs,parodies,magic tricks,video editing,music,reaction videos,beauty content
Charlie D'Amelio,1.0,0.5069052,0.52344507,0.38772207,0.25130644,0.30332696,0.3729839,0.28466886,0.4131291,0.69947326,0.6709087,0.70730186,0.54453176
Addison Rae,0.94015026,0.488856,0.56843644,0.6786214,0.21822268,0.31018317,0.4044525,0.2273931,0.4069784,0.6616254,0.6575067,0.6967991,0.65980875
Bella Poarch,0.7549007,0.3725423,0.5351023,0.25962025,0.8245031,0.20083207,0.32781872,0.213501,0.37357387,0.53181726,0.48992738,0.52956104,0.4646612
Spencer X,0.30332696,0.22824407,0.1632834,0.18526074,0.034683865,1.0000001,0.07150364,0.090525754,0.26023838,0.17618646,0.23593074,0.11882915,0.105750866
Michael Le,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046
Dixie D'Amelio,0.91175425,0.4743718,0.6017578,0.4179215,0.25934777,0.25812975,0.7211662,0.27932256,0.40611562,0.6999156,0.594341,0.70590585,0.5954286
Tony Lopez,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046
Larray,0.4753581,0.9581281,0.25101793,0.16905926,0.107757315,0.20033243,0.21377066,0.8168836,0.32002804,0.39261678,0.4522831,0.34693047,0.25238997
Zach King,0.7141592,0.48682824,0.60153276,0.31276655,0.23479499,0.2681853,0.40046236,0.25735325,0.7495798,0.8386424,0.47140604,0.65337026,0.580869
Jason Derulo,0.7134528,0.4174683,0.3747967,0.43260777,0.21944015,0.261862,0.19867148,0.23125252,0.40317988,0.44503626,0.7859009,0.44274995,0.5146144
Khaby Lame,0.7417014,0.80073893,0.4963339,0.36178076,0.17379305,0.20544262,0.38094714,0.48738372,0.36990064,0.70809215,0.51283777,0.85067666,0.56080914
James Charles,0.5997057,0.347235,0.8651254,0.58386666,0.30318302,0.14732984,0.50309783,0.07563494,0.45933327,0.5845738,0.40499878,0.6214343,0.91422826
Noah Beck,0.53797716,0.28184316,0.5839281,0.6919951,0.16539648,0.1057392,0.7775495,0.112193696,0.26926666,0.5770503,0.3767301,0.64460367,0.8011075
Joja Siwa,0.7134528,0.4174683,0.3747967,0.43260777,0.21944015,0.261862,0.19867148,0.23125252,0.40317988,0.44503626,0.7859009,0.44274995,0.5146144
Loren Gray,0.68109536,0.45068192,0.40141553,0.7040349,0.13063778,0.26170412,0.29051593,0.23835737,0.2882823,0.48594263,0.90384686,0.4593176,0.59495246
David Dobrik,0.5724076,0.8439238,0.49154344,0.32599097,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.5141399,0.4494564,0.48622155,0.4548968
Nikkie de Jager,0.5997057,0.347235,0.8651254,0.58386666,0.30318302,0.14732984,0.50309783,0.07563494,0.45933327,0.5845738,0.40499878,0.6214343,0.91422826
Brent Rivera,0.57240754,0.8439238,0.49154344,0.32599095,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.51413995,0.4494564,0.48622155,0.4548968
Lele Pons,0.57240754,0.8439238,0.49154344,0.32599095,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.51413995,0.4494564,0.48622155,0.4548968
Avani Gregg,0.8873163,0.46523914,0.6308714,0.56395686,0.26647708,0.23647612,0.45385367,0.21170792,0.4532232,0.70299083,0.6264227,0.74807143,0.86996657
Josh Richards,0.91175425,0.4743718,0.6017578,0.4179215,0.25934777,0.25812975,0.7211662,0.27932256,0.40611562,0.6999156,0.594341,0.70590585,0.5954286
Huddy,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046
